post_content,trend,Likes,Shares,Comments
ios users complain slow performance iphone devices,Highly Trending,106,41,103
wont allow sanghis amu student union ahead prez visit,Moderately Trending,636,67,230
mary kom resigns indian boxings national observer,Low Trending,121,28,445
deaths encounters terror attacks pak report,Low Trending,505,25,223
ms dhoni plays imran tahirs son airport,Highly Trending,40,18,336
rohingya militants massacred hindus myanmar amnesty,Highly Trending,380,26,213
ronaldo mocks real madrid teammate rodriguezs new haircut,Moderately Trending,437,92,281
charges dropped srk alibaug benami property case,Moderately Trending,895,49,184
password manager blurs million users affected hack,Moderately Trending,386,81,156
people world displaced,Highly Trending,148,63,418
zero political military role india afghanistan pak,Moderately Trending,818,79,161
air india gets delhi hc notice treating dead bodies cargo,Moderately Trending,664,50,341
officials block gurugram road highway post liquor ban,Moderately Trending,321,91,21
achrekar smacked stump butt dropping catch kotak,Highly Trending,386,24,25
indias shiva keshavan wins gold asian luge championships,Highly Trending,168,11,221
list benefits acid attack victims hc delhi govt,Moderately Trending,298,75,200
big b trolled calling cake cutting bday westernised,Low Trending,765,29,9
railway protection force tuesday arrested man broke lcd screen luxury train tejas express accused presented court fined damaging government property rpf reportedly traced man using mobile data records passenger reservation chart,Highly Trending,14,62,492
nobel committee slams china liu xiaobos death,Low Trending,742,3,386
camera prints cartoons instead photos,Moderately Trending,752,83,58
itc indias th valued firm market cap,Low Trending,889,13,154
padmavati stand bhansali ranveer,Low Trending,523,40,90
years st petrolpowered car driven public,Moderately Trending,730,92,5
mp primary school students forced study toilet,Low Trending,826,14,48
john replaces sushant upcoming film romeo akbar walter,Highly Trending,308,7,15
modis tenure utter failure mns chief raj thackeray,Highly Trending,71,24,61
worlds largest particle physics lab gets new accelerator,Moderately Trending,463,104,247
shahid told janhvi look great dhadak ishaan,Moderately Trending,310,55,56
teen mbappe wins best young player award ballon dor event,Moderately Trending,676,100,41
intolerance prevalent india years rahul gandhi,Highly Trending,399,50,314
sl legend jayasuriya throws balls son practise batting,Moderately Trending,589,78,206
india u vicecaptain shubman gill like lara ganguly,Low Trending,524,42,437
didnt understand seriousness films till debut ankita,Highly Trending,10,56,232
thirteen arrested gujarat communal clash,Moderately Trending,602,67,400
tesla recalls l cars power steering bolts corrosion,Low Trending,782,11,382
japans child population hits new record low,Moderately Trending,326,61,212
religionbased quota create paklike social unrest naidu,Highly Trending,11,7,32
kejriwal offers delhi metro amid fare hike row,Moderately Trending,468,92,245
ganguly dressed sardarji attend durga puja,Low Trending,759,59,403
scientists edit brain activity using holograms,Low Trending,639,21,435
govt set crore metro coach factory maharashtra,Moderately Trending,783,53,223
rocketpowered car hits kmph speed seconds,Highly Trending,312,56,98
refuse role female costar isnt paid benedict,Low Trending,474,24,350
manchester city beat tottenham end losing streak,Highly Trending,88,21,306
actor kunal kemmu shared picture wife actress soha ali khan baby bump seen couple currently vacation london earlier kunal announcing sohas pregnancy said soha happy announce joint production coming later year child,Highly Trending,316,1,78
man held smuggling fake notes india bangladesh,Highly Trending,462,41,41
philippine prez calls major media outlets sons whore,Low Trending,680,25,332
keralas oldest student commonwealth learning ambassador,Low Trending,871,11,244
ranbir kapoor starrer sanju earns crore worldwide,Low Trending,795,1,44
study finds cometlike planet orbiting poles star,Moderately Trending,802,70,244
india real deal theyre team exaus captain border,Low Trending,744,1,413
yes bank employee steals cr elderly couples account,Low Trending,849,8,175
india rejects paks fabricated claim role karachi attack,Highly Trending,124,42,156
player angry subbed calms coach kisses,Low Trending,777,30,383
asked days did rahul loan waivers,Low Trending,766,33,393
richa chadha make tv debut judge queens comedy,Low Trending,447,1,499
pcb files cr compensation claim bcci icc,Moderately Trending,494,74,7
sitting mps mlas practise law sc asks attorney general,Moderately Trending,631,58,305
sbi cuts rate home loan lakh bps,Highly Trending,561,26,144
sachin let sehwag watch world cup final live,Low Trending,427,37,297
mutilation bodies soldiers barbaric act jaitley,Low Trending,581,4,125
spacex tesla harebrained projects peter thiel,Highly Trending,392,9,470
modis policies space terrorists kashmir rahul,Low Trending,595,6,447
kangana aur main kisi ke aage peeche nahi ghumte ankita lokhande,Highly Trending,262,12,441
armed men abduct indian engineers afghanistan,Highly Trending,225,0,81
wont link phone aadhaar let disconnect cm mamata,Moderately Trending,282,83,345
delhi police new army dogs security,Highly Trending,128,18,187
tamil nadu plans accident insurance school students,Highly Trending,21,8,364
im afraid losing fame popularity shahid,Low Trending,525,10,389
scientists dig traces yrold cheese croatia,Low Trending,630,0,426
commuters push tonne train rescue woman,Low Trending,954,11,275
indias pluralism greatest strength president kovind,Moderately Trending,991,61,118
picture actor salman khan austrian actress playboy model ronja forcher surfaced online ronja reportedly play cameo role salmans upcoming film tiger zinda hai scheduled release december ronja featured cover april edition playboy germany magazine,Highly Trending,250,31,467
supreme court stays ccis cr penalty cement firms,Moderately Trending,836,41,150
muslim brotherhood members sentenced death egypt,Highly Trending,120,47,197
years miandads ball chetan sharma,Low Trending,504,27,478
actress priyanka chopra slammed allegedly getting lip job shared picture instagram recently users claimed lips looked fuller user commented priyanka chopra plastic beauty user wrote lips look weirdnn,Highly Trending,38,63,7
music player winamp make comeback mobile app,Low Trending,895,37,233
kohli equals record test double tons india,Low Trending,208,57,443
judwaa earns cr s nd highest day grosser,Highly Trending,563,4,161
prisoner asks pm modi sell kidney fight case,Moderately Trending,481,75,116
irfan asks brother yusuf hit balls ipl,Moderately Trending,665,39,164
pak pm imran khan thanks sidhu attending oathtaking,Low Trending,294,17,386
sidhu verge losing voice rallies advised rest,Moderately Trending,240,84,233
turkish president erdoan wins executive power referendum,Moderately Trending,436,94,100
true shoaib married unite india pak sania,Moderately Trending,526,49,115
maha housing minister accused corruption congress ncp,Highly Trending,347,11,453
delhi civic body operates special ambulance trees,Moderately Trending,332,80,445
honest taxpayers priority airports railway stations,Moderately Trending,518,63,31
earthworms reproduce marslike soil study shows,Highly Trending,78,38,315
socalled prez trump hate fashionable lebron james,Moderately Trending,829,41,28
sc judges appointed impression justice chelameswar,Moderately Trending,626,40,12
ashamed rahul defending dynasty culture jaitley,Highly Trending,149,62,258
plastic rice reports fake claims tamil nadu govt,Low Trending,998,18,136
play gay rights activist dostana sequel kirron,Low Trending,552,6,213
varsity dalit student refuses medal discrimination,Moderately Trending,373,91,95
govt realises needs viagra revive economy kapil sibal,Highly Trending,177,13,81
researchers hack atm discharge cash till,Low Trending,704,29,214
fb admits slow fight hate speech myanmar,Low Trending,673,2,302
wont dare tell father dad dont ambani,Moderately Trending,714,79,1
whatsapp rolls suspicious link detection android beta,Moderately Trending,859,60,159
arjun rampal turns showstopper india couture week,Moderately Trending,958,57,152
olympian killed catching men stealing cars mirrors,Moderately Trending,320,90,115
umpire didnt need involved kohlipaine spat ponting,Highly Trending,334,31,375
hear covfefe trump yanny vs laurel debate,Moderately Trending,690,94,167
apples jony ive retakes design team management yrs,Low Trending,608,41,369
make salman like thing saqib,Moderately Trending,608,83,457
sc refuses grant interim bail unitech promoter,Moderately Trending,180,84,178
bureaucracy misleading people years allahabad hc,Moderately Trending,337,64,29
wont wait abolish section violates rights sc,Highly Trending,396,38,247
roads built indiachina border,Moderately Trending,578,37,134
life healthcare sell stake max healthcare cr,Low Trending,726,27,25
toxic emissions industries worse genocide delhi hc,Highly Trending,249,32,224
saudi produce prosperity instead terrorists iran,Highly Trending,74,19,329
stop politicians commenting crime govt sc,Low Trending,689,41,376
watch rahul hugs pm modi speaker says necessary,Highly Trending,507,29,207
govts onemonth ceasefire cosmetic kashmiri separatists,Highly Trending,246,0,173
leaked pictures sets bharat salmans look,Moderately Trending,446,50,118
ipad pro clear example apple following microsoft exec,Low Trending,465,30,222
flyer enters spicejet flight knife expose security,Highly Trending,118,19,14
mmrda plans japanlike skywalks metro stations malls,Moderately Trending,538,57,72
im happiest man earth right yrold beat federer,Highly Trending,373,43,332
italian club auction jerseys kerala flood relief fund,Low Trending,563,0,272
man arrested molesting woman delhimumbai flight,Highly Trending,49,49,340
world comfortable indias rising stature pm modi,Moderately Trending,422,74,220
havent thought ahead varun marrying natasha,Highly Trending,3,64,488
couple drop daughter hospital body doorstep,Low Trending,597,59,499
end chain migration visa lottery programme,Moderately Trending,866,52,114
richa chadha urges fans support womens team,Highly Trending,123,72,132
pm modi praises artist angry hanuman portrait,Highly Trending,465,19,340
exjk cm asks pm modi open route sharda peeth pok,Moderately Trending,681,60,326
entrepreneurial tries fail india eco council chief,Moderately Trending,837,76,3
nearly illegal entries delhi airport govt,Moderately Trending,457,97,339
sonia gandhi admitted hospital rahul says better,Moderately Trending,519,82,65
spinners wickets match st time tests,Highly Trending,465,45,411
kohli odi tons root williamson smith combined,Low Trending,654,20,273
dead sea creature washed indonesian coast identified,Highly Trending,30,14,211
cyber hub leela hotel change entries counter liquor ban,Moderately Trending,549,96,231
women end wearing dress wedding,Low Trending,626,16,286
amu girls hockey team time,Highly Trending,120,44,373
macbooks hacked ransom using iphone feature,Low Trending,827,49,216
sc lifts ban construction maharashtra uttarakhand,Moderately Trending,368,57,228
assams african white rhino dies mate,Low Trending,293,3,264
mumbai cruise terminal prepaid taxi booth,Moderately Trending,299,86,284
nirav modi sold diamonds worth lakh crore,Moderately Trending,776,111,226
romantic relationships complicated deepika padukone,Low Trending,605,4,445
jadeja replaced anderson worlds test bowler,Low Trending,814,14,392
yearold girl gangraped men greater noida,Low Trending,34,8,457
dengue claims lives people tamil nadu,Low Trending,372,23,434
germany asks france security council seat eu,Low Trending,806,16,16
railways set reservation counters post offices,Moderately Trending,812,84,117
sofia hayat gets married temple awakening,Low Trending,282,41,442
stop mann ki baat start gun ki baat thackeray modi,Moderately Trending,479,74,434
hawai jahaz bachpan banaye nahi speaker congress mps,Highly Trending,173,42,52
oilbacked cryptocurrency launched curb volatility,Highly Trending,454,13,140
american comedianfilmmaker jerry lewis passes away aged,Moderately Trending,778,36,11
punjab asks centre cr guru nanaks th anniv,Moderately Trending,370,87,112
pms campaign triple talaq communal cpim chief,Low Trending,407,65,350
cabinet approves better protection human rights,Highly Trending,376,20,23
indiapakistan match reduced overs rain,Low Trending,836,11,177
delhi panel finds max hospital guilty following norms,Low Trending,703,19,256
masaba responds troll called bastard child,Highly Trending,381,30,31
indias prathamesh maulingkar named mr supranational,Highly Trending,42,39,458
fake google play store navigation apps researcher,Highly Trending,240,24,260
govt releases list universities free wifi july,Moderately Trending,877,72,5
ak maker unveils electric supercar rival tesla,Highly Trending,55,40,233
djokovic calls chauffeur strong candidate eng team,Low Trending,109,26,368
hotels details oil fat used food,Low Trending,715,15,291
roadside bombings kill egyptian soldiers,Low Trending,586,53,471
delhi man kills sisterinlaw nephew property dispute,Moderately Trending,714,78,92
russians laughing asses donald trump,Highly Trending,469,33,268
pathan indian cricketer failed dope test wada,Low Trending,789,28,335
aprilfeb fiscal deficit hits fullyear target,Low Trending,801,50,397
ammas ghost haunting people poes garden home report,Highly Trending,117,43,313
rahuls kailash yatra bol bum chanted congress rallies,Low Trending,220,37,487
trumps casino bid rejected links mafia,Moderately Trending,491,48,159
russia replace middle east defence secretary,Highly Trending,277,45,470
robot teacher dance tested finland,Highly Trending,169,58,191
election commission barred madhya pradesh minister narottam mishra contesting elections years paid news allegations assembly polls complaint filed congress mla rajendra bharti april mishra earlier approached mp high court seeking quash inquiry ec plea rejected,Moderately Trending,412,82,69
arnold schwarzenegger french prez troll trump snapchat,Moderately Trending,592,80,23
rupee rises twoweek high dollar,Low Trending,930,36,377
hc orders cognizant pay crore tax dispute case,Moderately Trending,386,89,229
hdfc bank profit crore september quarter,Moderately Trending,924,70,244
officials face action criticise raj govt online,Highly Trending,86,25,142
bluru girls catch flasher plan court,Highly Trending,110,61,394
british american tobacco probe bribery claims,Moderately Trending,437,94,440
alibaba singles day sales hit billion minutes,Moderately Trending,629,68,56
dalit man murdered tamil nadu breaking plastic tap,Moderately Trending,541,45,76
lalu prasad yadav sentenced years fodder scam case,Low Trending,570,14,387
flyer held smuggling steroids gold worth l delhi,Moderately Trending,505,88,355
workers killed trapped china coal accident,Moderately Trending,372,87,3
whatsapp officers extract cash delhi dy cm traders,Highly Trending,174,68,54
customer wins cr govt lottery k digital transaction,Moderately Trending,614,57,312
wheels justice moved badal sajjan kumar verdict,Highly Trending,213,25,169
jiah pratyusha committed suicide lived tanushree,Highly Trending,184,15,226
bumrah takes wkts post kohlis sa end day,Low Trending,736,22,433
video shows policeman throwing money dancers,Low Trending,520,21,392
russian internet giant yandex shows selfdriving car,Highly Trending,92,48,7
man masturbates railway station woman streams live fb,Low Trending,530,18,174
fifth boy rescued thai cave operation resumes,Moderately Trending,388,58,32
spacex reuse rocket components elon musk,Low Trending,661,6,449
paralysed man jailed gunpoint robbery russia,Highly Trending,198,18,2
british judge icj st time year history,Moderately Trending,678,71,20
apple ceo visits billion chinese bikesharing startup,Moderately Trending,499,99,111
ti cricket gets firstever match player years,Highly Trending,387,24,215
thai soldiers body returned paper place brain,Moderately Trending,262,74,171
youtube star superwoman visit srk home mumbai,Moderately Trending,618,104,199
end bjppdp alliance jk inevitable rss,Highly Trending,250,4,267
like make biopic sprinter hima das akshay,Highly Trending,271,32,120
pictures lunar eclipse,Moderately Trending,737,45,79
prisoner returns jail food days escaping,Moderately Trending,482,66,455
india key driver energy sector years pm modi,Moderately Trending,309,89,102
delhi woman loses foot falling moving bus,Low Trending,226,67,202
earths sixth mass extinction event underway study,Highly Trending,99,60,219
sonali staying strong sonalis kin cancer treatment,Low Trending,860,0,27
actress staged topless protest denied film body membership,Moderately Trending,639,37,50
homework class students govt schools,Highly Trending,304,47,24
mp loses bag containing cash train,Moderately Trending,445,75,59
modi government lost senses years congress,Low Trending,729,14,313
kids wearing sacred threads kumkum expelled principal,Highly Trending,2,46,101
airbnb guest threw party furniture missing man,Highly Trending,65,71,252
shreyas talpade wife parents surrogacy,Low Trending,794,40,291
build dams divert water flowing pak gadkari,Moderately Trending,327,66,48
south korean tech startup hires people years,Highly Trending,327,51,260
behaviour unworthy permanent unsc status russia,Moderately Trending,353,78,483
karnan wants medical test sc judges wanted,Low Trending,507,51,388
humans cause sixth mass extinction earth study,Low Trending,787,24,73
ireland hold abortion referendum,Highly Trending,457,42,287
scottish train offer hotel experience double beds,Moderately Trending,568,95,58
world population hit billion,Highly Trending,144,69,420
sajid said sex dog gave cr aahana,Low Trending,712,4,264
apple supplier secures land india invest crore,Highly Trending,322,47,324
injured bridge collapses himachal pradesh,Moderately Trending,576,81,131
bihar woman operated torchlight passes away,Moderately Trending,758,91,67
smriti irani compares jon snow mihir virani,Low Trending,782,50,458
shrewd core cricketers pay tribute ajit wadekar,Moderately Trending,772,82,86
killed isis bombing afghanistan,Moderately Trending,665,94,359
st woman doctor admitted school joke,Moderately Trending,607,59,434
trumps aide contradicts position north korea,Moderately Trending,639,41,16
rahul gandhi delhi cm kejriwal wish pm modi th bday,Moderately Trending,598,57,180
delhi govt install cctvs jails cost crore,Low Trending,324,57,93
israel withdraws race security council seat,Low Trending,223,72,383
vehicle killed kids belonged bjp leader tejashwi,Highly Trending,32,49,48
department raids karnataka minister shivakumar,Moderately Trending,386,81,14
turkey come facetoface syria turkish deputy pm,Moderately Trending,633,79,143
man flies hong kong support pewdiepie outside tseries office,Low Trending,725,18,44
evan spiegels net worth tanked bn snap ipo,Highly Trending,445,6,91
delhi crime rate cops solved cases,Moderately Trending,686,43,202
bmc demolishes illegal portion anil kapoors office,Highly Trending,199,16,471
drunk man kills dog standing hour noida,Highly Trending,510,13,28
donkey latif posted video sehwag fame tiwary,Low Trending,504,54,492
sleepless nights soldier martyred rajnath,Moderately Trending,754,65,128
great gilchrist hit sreesanth didnt runs money wife,Moderately Trending,594,81,471
bigger wc win shastri indias test series win aus,Moderately Trending,484,47,95
amazon invests million blurubased lending startup,Highly Trending,678,14,95
andy rubins startup valued bn selling phones,Highly Trending,63,7,122
russian slitthroat girl offered trip netherlands,Low Trending,784,0,38
samsung beats intel worlds largest chipmaker,Low Trending,841,15,216
united reimburses flyers flight man dragged,Highly Trending,105,53,368
learned pallaviakbars relationship late night calls wife,Highly Trending,500,31,245
sad culture great country ripped trump,Low Trending,804,19,239
article impeachment filed donald trump,Highly Trending,398,22,279
firing didnt secs amarnath attack survivor,Low Trending,726,37,484
google able remove objects photos soon,Highly Trending,377,27,135
csk shares picture ms dhoni number plate car,Moderately Trending,164,65,243
tesla apps new feature lets users heat car seats remotely,Highly Trending,354,51,395
boy kills self friends bully acting feminine,Low Trending,742,37,393
california reduces penalty intentional hiv infection,Moderately Trending,586,96,89
researcher claims uber record users iphone screens,Moderately Trending,955,57,211
fell love shraddha pic sets haseena,Highly Trending,386,40,400
given prime minister speaks amit shah,Low Trending,877,6,214
messi ronaldo el clsico st time years,Highly Trending,282,69,116
resolution teesta issue transform india ties hasina,Highly Trending,21,32,466
startup plans worlds manmade meteor shower,Highly Trending,119,41,261
couple makes kids quit school sells possessions travel,Highly Trending,24,65,388
robot dogs buddhist funeral japan,Moderately Trending,388,86,419
forever favourite forever champion sania andy murray,Moderately Trending,596,38,170
man faces defamation trial liking facebook posts,Highly Trending,418,62,490
road safety marathon held jln stadium march,Moderately Trending,897,55,165
anchor protector anshula wishes brother arjun bday,Moderately Trending,929,35,143
teenager killed opposing gambling delhi,Highly Trending,342,69,426
youngest person birth years old,Low Trending,489,46,116
srk gives chak india speech hockey wc opening ceremony,Highly Trending,138,44,360
dont hide award surprising kriti,Moderately Trending,385,65,457
im available big b working tall actresses,Moderately Trending,348,84,248
free land gurukuls providing free education haryana cm,Low Trending,798,10,337
british surfer breaks crushed ft wave,Moderately Trending,887,86,156
yrold boy marries yrold fulfil ill mothers wish,Low Trending,603,4,305
pilot instructor questioned flight hits people,Moderately Trending,570,80,196
pregnant woman gets hiv blood transfusion govt hospital,Low Trending,355,9,206
kapil sharma hospitalised complaining uneasiness,Moderately Trending,271,80,125
ganga cleanliness pledge day observed,Moderately Trending,682,60,5
use fords plants build cars volkswagen ceo,Low Trending,848,45,382
hdfc sells invokes pledged shares unitech,Moderately Trending,370,81,131
reckitt benckiser executives quit post weak performance,Low Trending,793,4,472
demonetised notes converted stationery tn prisoners,Highly Trending,8,21,63
expelled gujarat congress mlas resign join bjp,Moderately Trending,514,89,326
defence ministry conduct online quiz gallantry awards,Moderately Trending,268,61,112
white walker seals deal ashwin pujara,Moderately Trending,801,63,218
movie tickets price karnataka capped today,Low Trending,456,14,337
resolve mahadayi dispute bjp wins ktaka polls shah,Moderately Trending,554,62,298
worlds smallest house spanning just hair width,Highly Trending,190,34,119
businesses registered gst pay tax arun jaitley,Moderately Trending,822,36,17
blue origins space launch tourists crew bezos,Moderately Trending,901,66,429
arrested stealing encashing cheques mumbai,Low Trending,206,14,434
indigo compensation firm faulty engines,Highly Trending,360,24,450
karate teacher rapes yrold girl patna school arrested,Highly Trending,132,18,30
harry potter author jk rowling apologised series tweets falsely accused president donald trump refusing shake hand child wheelchair event week rowling slammed removing tweets social media account comments proved incorrect,Low Trending,386,65,493
rebel world cup taking place london,Highly Trending,487,11,200
vijay mallya person named fugitive economic offender,Low Trending,929,45,146
spain threatens veto brexit deal gibraltar issue,Low Trending,976,25,404
tv campaign educate americans sikhism launched,Moderately Trending,464,94,391
constitution important govt gita quran maha cm,Moderately Trending,617,90,382
twitter reacts congress presidential election,Highly Trending,70,39,86
honouring law minister defends garlanding lynching convicts,Low Trending,572,33,99
